arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A1,600418.SH,2024-11-28,2024-12-31,23,1,16133.701312079997
A2,300750.SZ,2020-03-02,2020-04-15,31,1,-13255.35195599997
A2,601318.SH,2020-03-02,2020-04-17,33,1,-16602.99329699998
A2,000725.SZ,2020-03-17,2020-05-11,35,1,-9250.490551680006
A2,002714.SZ,2020-05-12,2020-06-18,27,1,-73422.30253895996
A2,000063.SZ,2020-05-26,2020-06-18,17,1,16543.11587328001
A2,002415.SZ,2020-05-26,2020-06-18,17,1,14247.334767060034
A2,600030.SH,2020-09-08,2020-10-12,18,1,6613.851740760059
A2,002456.SZ,2020-09-02,2020-10-28,34,1,-12138.795218159968
A2,300136.SZ,2020-10-13,2020-11-09,19,1,2794.0862649600313
A2,600745.SH,2020-09-09,2020-12-07,57,1,-12521.759578559984
A2,601012.SH,2020-11-16,2020-12-09,17,1,19457.831472840015
A2,300122.SZ,2020-11-12,2020-12-21,27,1,27719.68695048004
A2,002475.SZ,2020-12-15,2020-12-23,6,1,16941.61435680004
A2,000651.SZ,2020-12-10,2021-01-05,17,1,6024.435667020065
A2,601318.SH,2021-01-29,2021-02-25,14,1,14306.815650240023
A2,300059.SZ,2021-02-26,2021-04-02,25,1,-10814.738126399956
A2,300750.SZ,2021-02-01,2021-04-14,46,1,-3679.1804618999595
A2,002475.SZ,2021-01-29,2021-04-19,50,1,-58658.76237851998
A2,601166.SH,2021-04-16,2021-05-12,15,1,20247.208778700005
A2,002352.SZ,2021-04-13,2021-05-18,22,1,1608.0203105999972
A2,600031.SH,2021-05-14,2021-06-01,12,1,27818.873655840027
A2,002594.SZ,2021-05-06,2021-06-08,23,1,54999.009812880075
A2,002340.SZ,2021-06-08,2021-07-06,19,1,4388.551326000015
A2,000661.SZ,2021-05-25,2021-07-19,38,1,-5521.982931359991
A2,600031.SH,2021-06-15,2021-08-03,35,1,-2512.0176731999672
A2,002241.SZ,2021-07-23,2021-08-05,9,1,20518.01914968004
A2,002460.SZ,2021-08-17,2021-08-30,9,1,47024.09293319998
A2,300750.SZ,2021-08-17,2021-09-14,20,1,19148.41928376007
A2,000858.SZ,2021-07-09,2021-09-27,54,1,-36932.62872725993
A2,600111.SH,2021-09-30,2021-10-25,12,1,43782.60256524003
A2,002466.SZ,2021-09-23,2021-11-09,28,1,-901.1259201599751
A2,601919.SH,2021-09-29,2021-11-30,39,1,-14764.348652219924
A2,600030.SH,2021-11-17,2021-12-06,13,1,15781.336284420046
A2,000651.SZ,2021-10-28,2021-12-09,30,1,2270.266720200045
A2,601012.SH,2021-12-02,2022-03-01,57,1,-7099.658924399962
A2,002594.SZ,2021-12-17,2022-05-05,88,1,-25570.273588019976
A2,000858.SZ,2022-03-04,2022-05-30,56,1,-16906.98683321994
A2,300750.SZ,2021-12-21,2022-06-02,106,1,-49312.56608657999
A2,002415.SZ,2022-05-09,2022-06-06,19,1,3761.965667160024
A2,002241.SZ,2022-06-24,2022-08-05,30,1,5669.915238360059
A2,600036.SH,2022-07-14,2022-08-31,34,1,-13648.9167801
A2,601888.SH,2022-08-09,2022-09-26,33,1,7231.670899199991
A2,300274.SZ,2022-09-01,2022-10-12,23,1,21345.722282160015
A2,601899.SH,2022-09-27,2022-10-28,18,1,12993.288685020001
A2,002594.SZ,2022-07-13,2022-11-04,76,1,-18917.074105559965
A2,600519.SH,2022-10-13,2022-12-01,35,1,-6637.773531959974
A2,300750.SZ,2022-10-31,2022-12-07,27,1,22683.793246200046
A2,300274.SZ,2022-12-07,2023-01-03,18,1,21142.537688880024
A2,002241.SZ,2022-11-14,2023-01-05,37,1,16135.788009240001
A2,601012.SH,2022-12-23,2023-01-18,17,1,22382.58724128001
A2,300014.SZ,2023-01-12,2023-02-01,9,1,13742.55426942007
A2,300750.SZ,2023-02-20,2023-03-31,29,1,-1471.5558388799545
A2,300059.SZ,2023-03-08,2023-04-03,18,1,6215.843026800023
