ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
300308.SZ,中际旭创,2023-07-21,2023-09-28,3.0,31937.433879780117,5.48,49.0,,,,,,2023-09-28,3.0,31937.433879780117,5.48,49.0,,,,,
300308.SZ,中际旭创,2023-07-24,,,,,,2023-09-28,3.0,31712.150321280118,5.44,48.0,,,,,,2023-09-28,3.0,31712.150321280118,5.44,48.0
600276.SH,恒瑞医药,2023-08-02,,,,,,2023-08-28,3.0,21390.000694920076,3.61,18.0,,,,,,2023-08-28,3.0,21390.000694920076,3.61,18.0
000063.SZ,中兴通讯,2023-08-08,2023-10-11,1.0,-18552.91858991995,-9.44,40.0,,,,,,2023-10-11,1.0,-18552.91858991995,-9.44,40.0,,,,,
002594.SZ,比亚迪,2023-08-15,2023-10-18,4.0,18724.76526095986,2.42,40.0,2023-10-18,4.0,18724.76526095986,2.42,40.0,2023-10-18,4.0,18724.76526095986,2.42,40.0,2023-10-18,4.0,18724.76526095986,2.42,40.0
300750.SZ,宁德时代,2023-09-11,,,,,,2023-11-06,4.0,-39887.77443155984,-5.35,34.0,,,,,,2023-11-06,4.0,-39887.77443155984,-5.35,34.0
600519.SH,贵州茅台,2023-10-16,2023-11-01,3.0,43402.916925720056,8.5,12.0,2023-11-01,3.0,43402.916925720056,8.5,12.0,2023-11-01,3.0,43402.916925720056,8.5,12.0,2023-11-01,3.0,43402.916925720056,8.5,12.0
300750.SZ,宁德时代,2023-10-17,2023-11-06,1.0,10250.799985800026,5.52,14.0,,,,,,2023-11-06,1.0,10250.799985800026,5.52,14.0,,,,,
000977.SZ,浪潮信息,2023-10-20,2023-11-09,2.0,69723.95162040007,17.65,14.0,2023-11-09,2.0,69723.95162040007,17.65,14.0,2023-11-09,2.0,69723.95162040007,17.65,14.0,2023-11-09,2.0,69723.95162040007,17.65,14.0
601012.SH,隆基绿能,2023-11-03,2023-12-28,3.0,-16864.826378399855,-2.82,39.0,2023-12-28,3.0,-16864.826378399855,-2.82,39.0,2023-12-28,3.0,-16864.826378399855,-2.82,39.0,2023-12-28,3.0,-16864.826378399855,-2.82,39.0
601318.SH,中国平安,2023-11-10,2023-12-28,3.0,-22612.517813159968,-3.82,34.0,2023-12-28,3.0,-22612.517813159968,-3.82,34.0,2023-12-28,3.0,-22612.517813159968,-3.82,34.0,2023-12-28,3.0,-22612.517813159968,-3.82,34.0
002594.SZ,比亚迪,2023-11-27,2024-01-11,3.0,-32803.464184919954,-5.85,32.0,2024-01-11,3.0,-32803.464184919954,-5.85,32.0,2024-01-11,3.0,-32803.464184919954,-5.85,32.0,2024-01-11,3.0,-32803.464184919954,-5.85,32.0
002230.SZ,科大讯飞,2024-01-04,2024-01-30,2.0,10195.051775040047,2.59,18.0,2024-01-30,2.0,10195.051775040047,2.59,18.0,2024-01-30,2.0,10195.051775040047,2.59,18.0,2024-01-30,2.0,10195.051775040047,2.59,18.0
000625.SZ,长安汽车,2024-01-05,2024-02-26,3.0,65686.62329261994,10.97,30.0,2024-02-26,3.0,65686.62329261994,10.97,30.0,2024-02-26,3.0,65686.62329261994,10.97,30.0,2024-02-26,3.0,65686.62329261994,10.97,30.0
000661.SZ,长春高新,2024-01-15,2024-02-28,2.0,14485.738901040051,3.75,26.0,2024-02-28,2.0,14485.738901040051,3.75,26.0,2024-02-28,2.0,14485.738901040051,3.75,26.0,2024-02-28,2.0,14485.738901040051,3.75,26.0
