kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000058.SZ,20181231,20190430,2,2,1,1
income,000058.SZ,20190630,20190827,2,2,1,1
income,000058.SZ,20191231,20200428,2,2,1,1
income,000058.SZ,20200331,20200428,2,2,1,1
income,000058.SZ,20200630,20200825,2,2,1,1
income,000058.SZ,20200930,20201029,2,2,1,1
income,000058.SZ,20201231,20210427,2,2,1,1
income,000058.SZ,20211231,20220318,2,2,1,1
income,000058.SZ,20220331,20220429,2,2,1,1
income,000059.SZ,20180930,20181023,2,2,1,1
income,000059.SZ,20181231,20190420,2,2,1,1
income,000059.SZ,20190630,20190821,2,2,1,1
income,000059.SZ,20190930,20191022,2,2,1,1
income,000059.SZ,20191231,20200403,2,2,1,1
income,000059.SZ,20200331,20200414,2,2,1,1
income,000059.SZ,20200630,20200812,2,2,1,1
income,000059.SZ,20200930,20201030,2,2,1,1
income,000059.SZ,20201231,20210410,2,2,1,1
income,000059.SZ,20211231,20220413,2,2,1,1
income,000059.SZ,20220331,20220427,2,2,1,1
income,000059.SZ,20221231,20230414,2,2,1,1
income,000059.SZ,20240331,20240427,2,2,1,1
income,000060.SZ,20180630,20180829,2,2,1,1
income,000060.SZ,20180930,20181030,2,2,1,1
income,000060.SZ,20181231,20190330,2,2,1,1
income,000060.SZ,20190630,20190829,2,2,1,1
income,000060.SZ,20190930,20191028,2,2,1,1
income,000060.SZ,20191231,20200310,2,2,1,1
