date,mode,equity,cash,invested,stock_val,n_pos
2023-09-04,A2,944189.721092603,32094.721092603024,1080989.4680034297,912095.0,5
2023-09-05,A2,930633.721092603,32094.721092603024,1080989.4680034297,898539.0,5
2023-09-06,A2,926206.721092603,32094.721092603024,1080989.4680034297,894112.0,5
2023-09-07,A2,909244.721092603,32094.721092603024,1080989.4680034297,877150.0,5
2023-09-08,A2,900463.721092603,32094.721092603024,1080989.4680034297,868369.0,5
2023-09-11,A2,916223.721092603,32094.721092603024,1080989.4680034297,884129.0,5
2023-09-12,A2,922802.721092603,32094.721092603024,1080989.4680034297,890708.0,5
2023-09-13,A2,909707.721092603,32094.721092603024,1080989.4680034297,877613.0,5
2023-09-14,A2,894882.721092603,32094.721092603024,1080989.4680034297,862788.0,5
2023-09-15,A2,889495.721092603,32094.721092603024,1080989.4680034297,857401.0,5
2023-09-18,A2,900877.721092603,32094.721092603024,1080989.4680034297,868783.0,5
2023-09-19,A2,889336.721092603,32094.721092603024,1080989.4680034297,857242.0,5
2023-09-20,A2,878294.721092603,32094.721092603024,1080989.4680034297,846200.0,5
2023-09-21,A2,873423.058189883,583.0581898830242,1112501.13090615,872840.0,5
2023-09-22,A2,897852.058189883,583.0581898830242,1112501.13090615,897269.0,5
2023-09-25,A2,888492.058189883,583.0581898830242,1112501.13090615,887909.0,5
2023-09-26,A2,874269.058189883,583.0581898830242,1112501.13090615,873686.0,5
2023-09-27,A2,877081.058189883,583.0581898830242,1112501.13090615,876498.0,5
2023-09-28,A2,871567.058189883,583.0581898830242,1112501.13090615,870984.0,5
2023-10-09,A2,877955.058189883,583.0581898830242,1112501.13090615,877372.0,5
2023-10-10,A2,872628.944681133,5944.9446811330245,1106732.31526857,866684.0,4
2023-10-11,A2,879471.944681133,5944.9446811330245,1106732.31526857,873527.0,4
2023-10-12,A2,902563.944681133,5944.9446811330245,1106732.31526857,896619.0,4
2023-10-13,A2,875732.944681133,5944.9446811330245,1106732.31526857,869788.0,4
2023-10-16,A2,859512.944681133,5944.9446811330245,1106732.31526857,853568.0,4
2023-10-17,A2,862544.944681133,5944.9446811330245,1106732.31526857,856600.0,4
2023-10-18,A2,865980.944681133,5944.9446811330245,1106732.31526857,860036.0,4
2023-10-19,A2,845577.8742507331,2896.874250733025,1109780.38569897,842681.0,4
2023-10-20,A2,844410.8742507331,2896.874250733025,1109780.38569897,841514.0,4
2023-10-23,A2,829189.8742507331,2896.874250733025,1109780.38569897,826293.0,4
2023-10-24,A2,811683.047232743,90.04723274302523,1112587.2127169599,811593.0,4
2023-10-25,A2,812375.047232743,90.04723274302523,1112587.2127169599,812285.0,4
2023-10-26,A2,832269.047232743,90.04723274302523,1112587.2127169599,832179.0,4
2023-10-27,A2,854079.047232743,90.04723274302523,1112587.2127169599,853989.0,4
2023-10-30,A2,863198.047232743,90.04723274302523,1112587.2127169599,863108.0,4
2023-10-31,A2,848973.047232743,90.04723274302523,1112587.2127169599,848883.0,4
2023-11-01,A2,838123.047232743,90.04723274302523,1112587.2127169599,838033.0,4
2023-11-02,A2,826859.047232743,90.04723274302523,1112587.2127169599,826769.0,4
2023-11-03,A2,840842.047232743,90.04723274302523,1112587.2127169599,840752.0,4
2023-11-06,A2,872147.869440903,402496.869440903,531864.2719990399,469651.0,3
2023-11-07,A2,870476.869440903,402496.869440903,531864.2719990399,467980.0,3
2023-11-08,A2,869550.869440903,402496.869440903,531864.2719990399,467054.0,3
2023-11-09,A2,871074.869440903,402496.869440903,531864.2719990399,468578.0,3
2023-11-10,A2,865273.869440903,402496.869440903,531864.2719990399,462777.0,3
2023-11-13,A2,869488.869440903,402496.869440903,531864.2719990399,466992.0,3
2023-11-14,A2,869356.869440903,402496.869440903,531864.2719990399,466860.0,3
2023-11-15,A2,870679.869440903,402496.869440903,531864.2719990399,468183.0,3
2023-11-16,A2,868265.869440903,402496.869440903,531864.2719990399,465769.0,3
2023-11-17,A2,866979.869440903,402496.869440903,531864.2719990399,464483.0,3
2023-11-20,A2,864457.869440903,402496.869440903,531864.2719990399,461961.0,3
2023-11-21,A2,861829.869440903,402496.869440903,531864.2719990399,459333.0,3
2023-11-22,A2,852567.869440903,402496.869440903,531864.2719990399,450071.0,3
2023-11-23,A2,850943.477496903,217864.477496903,716496.66394304,633079.0,3
2023-11-24,A2,822501.477496903,217864.477496903,716496.66394304,604637.0,3
2023-11-27,A2,801927.019888903,26824.019888903014,907537.12155104,775103.0,3
2023-11-28,A2,804355.096856663,667.0968566630181,933694.04458328,803688.0,3
2023-11-29,A2,778873.096856663,667.0968566630181,933694.04458328,778206.0,3
2023-11-30,A2,769244.096856663,667.0968566630181,933694.04458328,768577.0,3
2023-12-01,A2,765774.096856663,667.0968566630181,933694.04458328,765107.0,3
2023-12-04,A2,761583.096856663,667.0968566630181,933694.04458328,760916.0,3
2023-12-05,A2,756928.096856663,667.0968566630181,933694.04458328,756261.0,3
2023-12-06,A2,772843.096856663,667.0968566630181,933694.04458328,772176.0,3
2023-12-07,A2,766983.096856663,667.0968566630181,933694.04458328,766316.0,3
2023-12-08,A2,769426.096856663,667.0968566630181,933694.04458328,768759.0,3
2023-12-11,A2,774069.096856663,667.0968566630181,933694.04458328,773402.0,3
2023-12-12,A2,764843.096856663,667.0968566630181,933694.04458328,764176.0,3
2023-12-13,A2,747372.096856663,667.0968566630181,933694.04458328,746705.0,3
