anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
866,5,4,1,-2.6229039681464386,-0.0918719550836073
867,1,1,0,5.432444797041631,0.0
868,2,2,0,2.2510841943730053,0.0
871,5,5,0,-2.5268219456524332,0.0
874,2,1,1,1.3808772767341502,-3.8254207320713016
875,6,6,0,2.1758218165610406,0.0
876,4,4,0,-2.636793417369466,0.0
877,7,6,1,2.353920461233121,-1.6113819845299964
878,12,10,2,2.17914461545341,-2.284556937512813
879,8,8,0,1.404587368237931,0.0
880,6,6,0,-1.0290094020210907,0.0
881,13,8,5,1.697835788677105,-4.696875042578423
882,20,17,3,0.733847663733147,-1.3900793527132667
883,10,9,1,-0.15064518504543756,-0.704272126541705
884,8,6,2,3.141751994297305,-2.6399544501489247
885,37,23,14,-1.7040473057889673,-2.8264169106622488
886,14,7,7,-3.3264975842341116,-5.0787337236412
887,7,6,1,5.606685923912067,-0.7106496044252627
889,2,2,0,2.145895601041281,0.0
890,2,2,0,0.09992105776583671,0.0
891,1,1,0,-9.893840806126754,0.0
892,2,2,0,2.038133725698991,0.0
893,1,1,0,-8.389753420520915,0.0
894,2,2,0,-0.04599259443982817,0.0
895,10,10,0,1.554010823143825,0.0
896,2,1,1,6.426158503446862,-5.55818875593437
897,1,1,0,3.5458687340173043,0.0
898,3,2,1,1.285211587055328,-2.8943484993685575
899,7,6,1,7.859737498317784,0.6761338066932728
900,5,3,2,8.820610371949513,-5.419416019290407
901,4,4,0,-1.5585945981624705,0.0
902,7,7,0,0.1951638619723212,0.0
903,9,7,2,-1.747666677082282,-1.721082602280197
904,10,9,1,-4.024125241712606,-0.7787241030204376
905,1,0,1,0.0,-3.6208048597427274
906,6,6,0,-2.0570465073320507,0.0
907,1,1,0,-11.012082838587,0.0
910,7,7,0,7.112862324418445,0.0
911,6,5,1,0.5859553884841899,-1.559187915011788
912,2,2,0,4.505759545429894,0.0
913,1,1,0,-3.5216765091339655,0.0
914,7,7,0,-1.5531137004165367,0.0
915,10,8,2,-0.6712745843906074,-2.734415163839284
916,14,13,1,-0.07832948934058415,-0.6666773067522723
917,29,23,6,-1.4069172295689456,-2.571016822090502
918,12,9,3,0.8867186015074244,-3.1700957069427234
