date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2023-05-25,ENTRY,000300.SH,510300.SH,51900,3.852,199918.8,49.9797,170546.16169999956,1,,
2023-05-26,ADD,399965.SZ,159707.SZ,215000,0.793,170495.0,42.62375,8.537949999561533,2,,
2023-06-06,EXIT_MIDLINE,399965.SZ,159707.SZ,459400,0.8250000000000001,379005.00000000006,94.75125000000001,378918.78669999965,2,8403.44519999997,13.0
2023-06-07,ENTRY,399989.SZ,512170.SH,458700,0.436,199993.2,49.9983,178875.58839999963,1,,
2023-06-12,EXIT_MIDLINE,000300.SH,510300.SH,51900,3.864,200541.6,50.135400000000004,379367.0529999996,1,522.6848999999982,18.0
2023-06-15,EXIT_MIDLINE,399989.SZ,512170.SH,458700,0.445,204121.5,51.030375,583437.5226249996,1,4027.271324999992,8.0
2023-06-27,ENTRY,399986.SZ,512800.SH,188600,1.06,199916.0,49.979,383471.54362499964,1,,
2023-06-27,ENTRY,399995.SZ,516970.SH,171800,1.164,199975.19999999998,49.99379999999999,183446.34982499966,1,,
2023-06-30,EXIT_MIDLINE,399995.SZ,516970.SH,171800,1.213,208393.40000000002,52.09835,391787.65147499973,1,8316.107850000019,3.0
2023-07-03,EXIT_MIDLINE,399986.SZ,512800.SH,188600,1.086,204819.6,51.2049,596556.0465749997,1,4802.416100000012,6.0
2023-07-19,ENTRY,399986.SZ,512800.SH,184300,1.085,199965.5,49.991375,396540.5551999997,1,,
2023-07-19,EXIT_MIDLINE,399986.SZ,512800.SH,184300,1.075,198122.5,49.530625,594613.5245749997,1,-1942.5220000000324,0.0
2023-07-20,ENTRY,000827.SH,159861.SZ,185300,1.079,199938.69999999998,49.984674999999996,394624.8398999997,1,,
2023-07-21,ENTRY,000852.SH,159845.SZ,77200,2.589,199870.8,49.9677,194704.07219999967,1,,
2023-07-25,ADD,000827.SH,159861.SZ,183800,1.059,194644.19999999998,48.661049999999996,11.211149999697227,2,,
2023-07-31,EXIT_MIDLINE,000827.SH,159861.SZ,369100,1.083,399735.3,99.933825,399646.5773249997,2,4953.820450000026,11.0
2023-07-31,EXIT_MIDLINE,000852.SH,159845.SZ,77200,2.617,202032.4,50.5081,601628.4692249997,1,2061.1241999999943,10.0
2023-08-08,ENTRY,980086.CNI,159992.SZ,252500,0.792,199980.0,49.995000000000005,401598.47422499966,1,,
2023-08-10,ENTRY,399967.SZ,512660.SH,190200,1.051,199900.19999999998,49.975049999999996,201648.29917499967,1,,
2023-08-11,EXIT_MIDLINE,980086.CNI,159992.SZ,252500,0.8250000000000001,208312.50000000003,52.07812500000001,409908.7210499997,1,8230.426875000028,3.0
